time,temperature,humidity,pressure,lux
2022/3/12 23:0:50,22.30,34.60,98485.70,13.75
2022/3/12 23:0:55,22.30,34.60,98486.20,13.75
2022/3/12 23:1:0,22.30,34.60,98486.66,13.75
2022/3/12 23:1:5,22.30,34.60,98486.16,13.75
2022/3/12 23:1:11,22.30,34.60,98485.45,13.75
2022/3/12 23:1:16,22.30,34.60,98485.45,13.75
2022/3/12 23:1:21,22.30,34.60,98484.08,13.75
2022/3/12 23:1:26,22.30,34.70,98484.28,13.75
2022/3/12 23:1:31,22.30,34.80,98484.41,13.75
2022/3/12 23:1:36,22.30,34.80,98485.08,13.75
2022/3/12 23:1:41,22.30,34.80,98485.02,13.33
2022/3/12 23:1:47,22.30,34.80,98484.80,13.33
2022/3/12 23:1:52,22.30,34.80,98485.31,13.33
2022/3/12 23:1:57,22.30,34.80,98485.98,13.75
2022/3/12 23:2:2,22.30,34.70,98484.94,13.33
2022/3/12 23:2:7,22.30,34.70,98484.73,13.33
2022/3/12 23:2:12,22.30,34.70,98484.02,13.33
2022/3/12 23:2:17,22.30,34.70,98484.02,13.33
2022/3/12 23:2:23,22.30,34.80,98485.06,13.33
2022/3/12 23:2:28,22.30,34.80,98485.73,13.33
2022/3/12 23:2:33,22.30,34.90,98486.23,13.33
2022/3/12 23:2:38,22.30,34.90,98485.73,13.33
2022/3/12 23:2:43,22.30,34.90,98485.35,13.33
2022/3/12 23:2:48,22.30,35.00,98485.52,13.33
2022/3/12 23:2:54,22.30,35.00,98485.52,13.33
2022/3/12 23:2:59,22.30,35.00,98485.52,13.33
2022/3/12 23:3:4,22.30,35.00,98485.85,13.33
2022/3/12 23:3:9,22.30,35.00,98486.19,13.33
2022/3/12 23:3:14,22.30,35.00,98485.64,13.33
2022/3/12 23:3:19,22.30,35.00,98486.65,13.33
2022/3/12 23:3:24,22.30,35.00,98486.11,13.33
2022/3/12 23:3:30,22.30,35.00,98486.23,13.33
2022/3/12 23:3:35,22.30,34.90,98485.53,13.33
2022/3/12 23:3:40,22.30,34.90,98485.16,13.33
2022/3/12 23:3:45,22.30,34.90,98485.33,13.33
2022/3/12 23:3:50,22.30,34.90,98484.95,13.33
2022/3/12 23:3:55,22.30,34.90,98484.62,13.33
2022/3/12 23:4:0,22.30,35.00,98484.75,13.33
2022/3/12 23:4:6,22.30,35.00,98485.25,13.33
2022/3/12 23:4:11,22.30,35.00,98485.88,13.33
2022/3/12 23:4:16,22.30,35.10,98485.67,13.33
2022/3/12 23:4:21,22.30,35.20,98485.84,13.33
2022/3/12 23:4:26,22.30,35.20,98486.17,13.33
2022/3/12 23:4:31,22.30,35.20,98486.14,13.33
2022/3/12 23:4:36,22.30,35.30,98486.14,13.33
2022/3/12 23:4:42,22.30,35.30,98486.64,13.33
2022/3/12 23:4:47,22.30,35.30,98486.77,13.33
2022/3/12 23:4:52,22.30,35.30,98487.10,13.33
2022/3/12 23:4:57,22.30,35.30,98487.06,13.33
2022/3/12 23:5:2,22.30,35.30,98487.86,13.33
2022/3/12 23:5:7,22.30,35.20,98487.02,13.33
2022/3/12 23:5:12,22.30,35.30,98487.34,13.33
2022/3/12 23:5:18,22.30,35.50,98487.69,13.33
2022/3/12 23:5:23,22.30,35.50,98487.19,13.33
2022/3/12 23:5:28,22.30,35.60,98487.19,13.33
2022/3/12 23:5:33,22.30,35.50,98487.86,13.33
2022/3/12 23:5:38,22.30,35.30,98488.19,13.33
2022/3/12 23:5:43,22.30,35.10,98488.02,13.33
2022/3/12 23:5:48,22.30,35.10,98488.52,13.33
2022/3/12 23:5:54,22.30,35.00,98487.81,13.33
2022/3/12 23:5:59,22.30,35.30,98487.48,13.33
2022/3/12 23:6:4,22.30,35.40,98487.11,13.33
2022/3/12 23:6:9,22.30,35.50,98486.80,13.33
2022/3/12 23:6:14,22.30,35.50,98486.98,13.33
2022/3/12 23:6:19,22.30,35.40,98487.64,13.33
2022/3/12 23:6:24,22.30,35.40,98487.81,13.33
2022/3/12 23:6:30,22.30,35.40,98488.98,13.33
2022/3/12 23:6:35,22.30,35.30,98488.77,13.33
2022/3/12 23:6:40,22.30,35.20,98487.90,13.33
2022/3/12 23:6:45,22.30,35.10,98487.86,13.33
2022/3/12 23:6:50,22.30,35.00,98488.16,13.33
2022/3/12 23:6:55,22.30,35.00,98488.99,13.33
2022/3/12 23:7:0,22.30,35.00,98489.83,13.33
2022/3/12 23:7:6,22.30,35.20,98490.37,13.33
2022/3/12 23:7:11,22.30,35.30,98490.16,13.33
2022/3/12 23:7:16,22.30,35.30,98489.63,13.33
2022/3/12 23:7:21,22.30,35.10,98489.08,13.33
2022/3/12 23:7:26,22.30,35.20,98489.63,13.33
2022/3/12 23:7:31,22.30,35.20,98490.45,13.33
2022/3/12 23:7:36,22.30,35.10,98490.21,13.33
2022/3/12 23:7:42,22.30,35.20,98491.05,13.33
2022/3/12 23:7:47,22.30,35.40,98491.05,13.33
2022/3/12 23:7:52,22.30,35.50,98490.67,13.33
2022/3/12 23:7:57,22.30,35.50,98490.88,13.33
2022/3/12 23:8:2,22.30,35.50,98491.38,13.33
2022/3/12 23:8:7,22.30,35.60,98491.55,13.33
2022/3/12 23:8:12,22.30,35.70,98492.05,13.33
2022/3/12 23:8:18,22.30,35.70,98492.39,13.33
2022/3/12 23:8:23,22.30,35.60,98492.52,13.33
2022/3/12 23:8:28,22.40,35.60,98492.18,13.33
2022/3/12 23:8:33,22.30,35.40,98492.18,13.33
2022/3/12 23:8:38,22.30,35.50,98492.68,13.33
2022/3/12 23:8:43,22.30,35.50,98493.02,13.33
2022/3/12 23:8:48,22.30,35.50,98493.55,13.33
2022/3/12 23:8:54,22.30,35.60,98493.22,13.33
2022/3/12 23:8:59,22.30,35.70,98493.22,13.33
2022/3/12 23:9:4,22.30,35.70,98492.72,13.33
2022/3/12 23:9:9,22.30,35.50,98492.34,13.33
2022/3/12 23:9:14,22.30,35.30,98492.78,13.33
2022/3/12 23:9:19,22.30,35.10,98493.69,13.33
2022/3/12 23:9:24,22.30,35.10,98493.78,13.33
2022/3/12 23:9:30,22.30,35.10,98494.12,13.33
2022/3/12 23:9:35,22.30,35.10,98493.78,13.33
2022/3/12 23:9:40,22.30,35.10,98493.58,13.33
2022/3/12 23:9:45,22.40,35.30,98492.41,13.33
2022/3/12 23:9:50,22.30,35.40,98492.95,13.33
2022/3/12 23:9:55,22.30,35.40,98492.95,13.33
2022/3/12 23:10:0,22.30,35.50,98492.78,13.33
2022/3/12 23:10:6,22.30,35.50,98492.45,13.33
2022/3/12 23:10:11,22.30,35.50,98492.23,13.33
2022/3/12 23:10:16,22.40,35.50,98491.57,13.33
2022/3/12 23:10:21,22.30,35.30,98491.70,13.33
2022/3/12 23:10:26,22.30,35.20,98492.70,13.33
2022/3/12 23:10:31,22.30,35.30,98492.70,13.33
2022/3/12 23:10:36,22.30,35.50,98493.20,13.33
2022/3/12 23:10:42,22.30,35.70,98493.45,13.33
2022/3/12 23:10:47,22.30,35.80,98492.84,13.33
2022/3/12 23:10:52,22.30,35.80,98493.22,13.33
2022/3/12 23:10:57,22.30,35.80,98493.42,13.33
2022/3/12 23:11:2,22.30,35.90,98493.47,13.33
2022/3/12 23:11:7,22.30,35.90,98493.42,13.33
2022/3/12 23:11:12,22.30,35.70,98492.76,13.33
2022/3/12 23:11:18,22.30,35.40,98492.55,13.33
2022/3/12 23:11:23,22.30,35.30,98492.84,13.33
2022/3/12 23:11:28,22.30,35.40,98493.55,13.33
2022/3/12 23:11:33,22.30,35.50,98493.22,13.33
2022/3/12 23:11:38,22.30,35.50,98493.02,13.33
2022/3/12 23:11:43,22.30,35.60,98493.34,13.33
2022/3/12 23:11:49,22.40,35.80,98494.05,13.33
2022/3/12 23:11:54,22.30,35.70,98493.89,13.33
2022/3/12 23:11:59,22.30,35.60,98493.69,13.33
2022/3/12 23:12:4,22.30,35.50,98494.19,13.33
2022/3/12 23:12:9,22.30,35.40,98493.19,13.33
2022/3/12 23:12:14,22.30,35.40,98492.68,13.33
2022/3/12 23:12:19,22.40,35.70,98492.89,13.33
2022/3/12 23:12:25,22.40,35.80,98493.42,13.33
2022/3/12 23:12:30,22.30,35.80,98493.05,13.33
2022/3/12 23:12:35,22.30,35.70,98493.22,13.33
2022/3/12 23:12:40,22.30,35.50,98493.89,13.33
2022/3/12 23:12:45,22.30,35.40,98493.89,13.33
2022/3/12 23:12:50,22.40,35.50,98494.39,13.33
2022/3/12 23:12:55,22.40,35.50,98493.52,13.33
2022/3/12 23:13:1,22.30,35.40,98493.39,13.33
2022/3/12 23:13:6,22.40,35.50,98492.68,13.33
2022/3/12 23:13:11,22.40,35.50,98493.05,13.33
2022/3/12 23:13:16,22.40,35.50,98493.89,13.33
2022/3/12 23:13:21,22.40,35.60,98493.89,13.33
2022/3/12 23:13:26,22.30,35.60,98494.02,13.33
2022/3/12 23:13:31,22.30,35.70,98494.35,13.33
2022/3/12 23:13:37,22.40,35.70,98493.69,13.33
2022/3/12 23:13:42,22.40,35.80,98494.39,13.33
2022/3/12 23:13:47,22.30,35.70,98494.43,13.33
2022/3/12 23:13:52,22.40,35.80,98494.59,13.33
2022/3/12 23:13:57,22.40,35.70,98494.93,13.33
2022/3/12 23:14:2,22.40,35.60,98495.27,13.33
2022/3/12 23:14:7,22.30,35.50,98495.56,13.33
2022/3/12 23:14:13,22.40,35.40,98495.52,13.33
2022/3/12 23:14:18,22.40,35.30,98495.52,13.33
2022/3/12 23:14:23,22.40,35.30,98495.19,13.33
2022/3/12 23:14:28,22.30,35.10,98495.29,13.33
2022/3/12 23:14:33,22.30,35.40,98495.35,13.33
2022/3/12 23:14:38,22.30,35.60,98495.19,13.33
2022/3/12 23:14:43,22.40,35.60,98494.69,13.33
2022/3/12 23:14:49,22.30,35.30,98494.85,13.33
2022/3/12 23:14:54,22.40,35.50,98495.19,13.33
2022/3/12 23:14:59,22.40,35.70,98495.19,13.33
2022/3/12 23:15:4,22.40,35.60,98495.06,13.33
2022/3/12 23:15:9,22.40,35.60,98494.19,13.33
2022/3/12 23:15:14,22.30,35.50,98494.02,13.33
2022/3/12 23:15:19,22.40,35.60,98493.69,13.33
2022/3/12 23:15:25,22.40,35.60,98493.34,13.33
2022/3/12 23:15:30,22.40,35.60,98492.52,13.33
2022/3/12 23:15:35,22.40,35.80,98492.89,13.33
2022/3/12 23:15:40,22.40,35.80,98493.39,13.33
2022/3/12 23:15:45,22.40,35.70,98494.39,13.33
2022/3/12 23:15:50,22.40,35.70,98494.22,13.33
2022/3/12 23:15:55,22.40,35.80,98494.59,13.33
2022/3/12 23:16:1,22.40,35.80,98494.27,13.33
2022/3/12 23:16:6,22.40,35.70,98494.43,13.33
2022/3/12 23:16:11,22.40,35.80,98495.09,13.33
2022/3/12 23:16:16,22.30,35.80,98495.51,13.33
2022/3/12 23:16:21,22.40,35.80,98495.34,13.33
2022/3/12 23:16:26,22.40,35.80,98495.17,13.33
2022/3/12 23:16:31,22.40,35.60,98494.59,13.33
2022/3/12 23:16:37,22.40,35.50,98494.77,13.33
2022/3/12 23:16:42,22.40,35.50,98494.56,13.33
2022/3/12 23:16:47,22.40,35.60,98494.43,13.33
2022/3/12 23:16:52,22.40,35.70,98494.27,13.33
2022/3/12 23:16:57,22.40,35.80,98494.63,13.33
2022/3/12 23:17:2,22.40,35.90,98494.84,13.33
2022/3/12 23:17:7,22.30,35.90,98494.34,13.33
2022/3/12 23:17:13,22.40,36.00,98494.55,13.33
2022/3/12 23:17:18,22.40,36.00,98495.09,13.33
2022/3/12 23:17:23,22.30,36.00,98494.92,13.33
2022/3/12 23:17:28,22.40,35.80,98495.25,13.33
2022/3/12 23:17:33,22.40,35.60,98495.38,13.33
2022/3/12 23:17:38,22.40,35.50,98495.92,13.33
2022/3/12 23:17:43,22.40,35.50,98495.51,13.33
2022/3/12 23:17:49,22.40,35.40,98495.84,13.75
2022/3/12 23:17:54,22.40,35.50,98495.34,13.33
2022/3/12 23:17:59,22.40,35.60,98495.34,13.33
2022/3/12 23:18:4,22.40,35.60,98495.34,13.33
2022/3/12 23:18:9,22.40,35.50,98495.38,13.33
2022/3/12 23:18:14,22.40,35.70,98495.55,13.33
2022/3/12 23:18:19,22.40,35.70,98495.75,13.33
2022/3/12 23:18:25,22.40,35.80,98495.21,13.33
2022/3/12 23:18:30,22.40,35.80,98495.38,13.33
2022/3/12 23:18:35,22.40,35.70,98496.22,13.33
2022/3/12 23:18:40,22.40,35.50,98495.88,13.33
2022/3/12 23:18:45,22.30,35.50,98495.38,13.33
2022/3/12 23:18:50,22.40,35.50,98495.05,13.33
2022/3/12 23:18:55,22.40,35.50,98496.05,13.33
2022/3/12 23:19:1,22.40,35.50,98496.05,13.33
2022/3/12 23:19:6,22.40,35.50,98496.09,13.33
2022/3/12 23:19:11,22.40,35.50,98496.59,13.33
2022/3/12 23:19:16,22.40,35.70,98495.59,13.33
2022/3/12 23:19:21,22.40,35.80,98495.45,13.33
2022/3/12 23:19:26,22.40,35.90,98495.45,13.33
2022/3/12 23:19:31,22.40,36.00,98495.50,13.33
2022/3/12 23:19:37,22.40,36.00,98495.87,13.75
2022/3/12 23:19:42,22.40,36.00,98496.04,13.33
2022/3/12 23:19:47,22.40,36.00,98496.05,13.33
2022/3/12 23:19:52,22.40,36.00,98496.42,13.33
2022/3/12 23:19:57,22.40,36.00,98496.59,13.33
2022/3/12 23:20:2,22.40,35.90,98496.42,13.33
2022/3/12 23:20:8,22.40,35.80,98496.05,13.33
2022/3/12 23:20:13,22.40,35.70,98496.38,13.33
2022/3/12 23:20:18,22.40,35.60,98496.75,13.33
2022/3/12 23:20:23,22.40,35.70,98496.45,13.33
2022/3/12 23:20:28,22.40,35.80,98496.30,13.33
2022/3/12 23:20:33,22.40,35.80,98496.13,13.33
2022/3/12 23:20:38,22.40,35.80,98495.95,13.33
2022/3/12 23:20:44,22.40,35.90,98496.33,13.33
2022/3/12 23:20:49,22.40,36.00,98495.83,13.33
2022/3/12 23:20:54,22.40,36.00,98496.37,13.33
2022/3/12 23:20:59,22.40,36.10,98496.20,13.33
2022/3/12 23:21:4,22.40,36.10,98496.20,13.33
2022/3/12 23:21:9,22.40,36.20,98495.73,13.33
2022/3/12 23:21:14,22.40,36.20,98495.44,13.33
2022/3/12 23:21:20,22.40,36.20,98495.15,13.33
2022/3/12 23:21:25,22.40,36.30,98495.65,13.33
2022/3/12 23:21:30,22.40,36.30,98496.48,13.33
2022/3/12 23:21:35,22.40,36.30,98497.02,13.33
2022/3/12 23:21:40,22.40,36.30,98497.39,13.33
2022/3/12 23:21:45,22.40,36.30,98497.39,13.33
2022/3/12 23:21:50,22.40,36.10,98496.89,13.33
2022/3/12 23:21:56,22.40,36.00,98497.39,13.33
2022/3/12 23:22:1,22.40,36.00,98497.39,13.33
2022/3/12 23:22:6,22.40,36.00,98497.73,13.33
2022/3/12 23:22:11,22.40,35.90,98498.44,13.33
2022/3/12 23:22:16,22.40,35.90,98498.60,13.33
2022/3/12 23:22:21,22.40,35.90,98498.10,13.75
2022/3/12 23:22:26,22.40,36.00,98498.64,13.33
2022/3/12 23:22:32,22.40,36.10,98499.02,13.33
2022/3/12 23:22:37,22.40,36.10,98499.02,13.33
2022/3/12 23:22:42,22.50,36.20,98498.84,13.75
2022/3/12 23:22:47,22.50,36.20,98499.02,13.33
2022/3/12 23:22:52,22.40,36.20,98498.38,13.33
2022/3/12 23:22:57,22.40,36.20,98497.88,13.33
2022/3/12 23:23:2,22.40,36.30,98498.05,13.75
2022/3/12 23:23:8,22.40,36.20,98497.72,13.33
2022/3/12 23:23:13,22.40,36.00,98496.88,13.75
2022/3/12 23:23:18,22.40,35.80,98496.84,13.33
2022/3/12 23:23:23,22.40,35.80,98496.84,13.33
2022/3/12 23:23:28,22.40,35.80,98497.68,13.33
2022/3/12 23:23:33,22.40,35.80,98498.18,13.75
2022/3/12 23:23:38,22.40,35.80,98498.69,13.33
2022/3/12 23:23:44,22.40,35.80,98499.22,13.75
2022/3/12 23:23:49,22.40,35.80,98499.55,13.75
2022/3/12 23:23:54,22.50,35.90,98499.55,13.75
2022/3/12 23:23:59,22.40,35.70,98499.19,13.33
2022/3/12 23:24:4,22.40,35.60,98498.84,13.33
2022/3/12 23:24:9,22.40,35.80,98498.84,13.33
2022/3/12 23:24:14,22.40,35.80,98498.69,13.75
2022/3/12 23:24:20,22.40,35.80,98499.02,13.33
2022/3/12 23:24:25,22.40,35.80,98499.52,13.33
2022/3/12 23:24:30,22.50,35.90,98499.72,13.75
2022/3/12 23:24:35,22.40,36.00,98500.57,13.33
2022/3/12 23:24:40,22.40,36.00,98500.57,13.33
2022/3/12 23:24:45,22.40,36.00,98500.73,13.33
2022/3/12 23:24:50,22.40,36.00,98501.07,13.33
2022/3/12 23:24:56,22.40,35.90,98501.57,13.33
2022/3/12 23:25:1,22.40,35.90,98501.39,13.33
2022/3/12 23:25:6,22.40,35.90,98501.23,13.33
2022/3/12 23:25:11,22.40,35.80,98500.69,13.75
2022/3/12 23:25:16,22.40,35.70,98500.89,13.33
2022/3/12 23:25:21,22.50,35.80,98501.07,13.33
2022/3/12 23:25:27,22.40,36.00,98501.44,13.33
2022/3/12 23:25:32,22.40,36.10,98501.31,13.33
2022/3/12 23:25:37,22.40,36.20,98501.98,13.33
2022/3/12 23:25:42,22.50,36.20,98503.19,13.33
2022/3/12 23:25:47,22.40,36.10,98503.73,13.33
2022/3/12 23:25:52,22.40,36.10,98502.86,13.33
2022/3/12 23:25:57,22.40,36.10,98502.86,13.33
2022/3/12 23:26:3,22.40,36.20,98503.39,13.33
2022/3/12 23:26:8,22.40,36.30,98503.97,13.33
2022/3/12 23:26:13,22.50,36.30,98504.47,13.33
2022/3/12 23:26:18,22.50,36.30,98504.63,13.33
2022/3/12 23:26:23,22.40,36.30,98504.63,13.33
2022/3/12 23:26:28,22.50,36.30,98504.63,13.33
2022/3/12 23:26:33,22.40,36.20,98503.80,13.33
2022/3/12 23:26:39,22.40,36.20,98504.47,13.33
2022/3/12 23:26:44,22.50,36.20,98504.50,13.33
2022/3/12 23:26:49,22.50,36.20,98504.00,13.33
2022/3/12 23:26:54,22.50,36.20,98503.84,13.33
2022/3/12 23:26:59,22.50,36.20,98503.70,13.75
2022/3/12 23:27:4,22.50,36.10,98503.91,13.33
2022/3/12 23:27:9,22.40,36.10,98503.54,13.33
2022/3/12 23:27:15,22.50,36.00,98503.20,13.33
2022/3/12 23:27:20,22.50,35.90,98503.38,13.33
2022/3/12 23:27:25,22.40,35.80,98504.21,13.33
2022/3/12 23:27:30,22.50,35.80,98504.17,13.33
2022/3/12 23:27:35,22.50,35.70,98503.84,13.33
2022/3/12 23:27:40,22.40,35.70,98504.00,13.33
2022/3/12 23:27:45,22.50,36.00,98504.17,13.33
2022/3/12 23:27:51,22.40,36.10,98503.88,13.33
2022/3/12 23:27:56,22.50,36.10,98504.58,13.33
2022/3/12 23:28:1,22.40,36.10,98504.38,13.33
2022/3/12 23:28:6,22.40,36.20,98504.75,13.33
2022/3/12 23:28:11,22.40,36.30,98505.13,13.33
2022/3/12 23:28:16,22.50,36.30,98505.66,13.33
2022/3/12 23:28:22,22.50,36.40,98505.16,13.33
2022/3/12 23:28:27,22.40,36.30,98504.16,13.75
2022/3/12 23:28:32,22.40,36.20,98504.66,13.75
2022/3/12 23:28:37,22.40,36.10,98504.83,13.75
2022/3/12 23:28:42,22.40,36.00,98504.78,13.33
2022/3/12 23:28:47,22.40,35.80,98504.78,13.33
2022/3/12 23:28:52,22.50,35.70,98503.91,13.75
2022/3/12 23:28:58,22.40,35.50,98503.91,13.33
2022/3/12 23:29:3,22.50,35.50,98503.20,13.75
2022/3/12 23:29:8,22.50,35.50,98503.54,13.33
2022/3/12 23:29:13,22.40,35.50,98503.70,13.75
2022/3/12 23:29:18,22.40,35.70,98503.20,13.33
2022/3/12 23:29:23,22.50,35.80,98502.74,13.33
2022/3/12 23:29:28,22.40,35.80,98502.41,13.33
2022/3/12 23:29:34,22.50,35.90,98502.41,13.75
2022/3/12 23:29:39,22.50,35.90,98501.73,13.75
2022/3/12 23:29:44,22.40,36.00,98502.11,13.75
2022/3/12 23:29:49,22.40,36.10,98502.82,13.75
2022/3/12 23:29:54,22.50,36.20,98503.20,13.33
2022/3/12 23:29:59,22.40,36.10,98503.69,13.33
2022/3/12 23:30:4,22.50,36.20,98504.40,13.33
2022/3/12 23:30:10,22.50,36.10,98503.36,13.75
2022/3/12 23:30:15,22.50,36.00,98503.20,13.33
2022/3/12 23:30:20,22.50,35.90,98503.06,13.33
2022/3/12 23:30:25,22.50,35.90,98502.73,13.33
2022/3/12 23:30:30,22.50,35.80,98502.89,13.33
2022/3/12 23:30:35,22.50,35.80,98502.69,13.33
2022/3/12 23:30:40,22.50,35.80,98502.86,13.75
2022/3/12 23:30:46,22.50,35.90,98503.02,13.33
2022/3/12 23:30:51,22.50,36.10,98503.23,13.33
2022/3/12 23:30:56,22.50,36.20,98503.40,13.33
2022/3/12 23:31:1,22.50,36.20,98502.77,13.75
2022/3/12 23:31:6,22.50,36.30,98502.95,13.33
2022/3/12 23:31:11,22.50,36.30,98502.98,13.33
2022/3/12 23:31:17,22.50,36.20,98503.19,13.33
2022/3/12 23:31:22,22.50,36.20,98503.23,13.75
2022/3/12 23:31:27,22.50,36.20,98503.10,13.75
2022/3/12 23:31:32,22.50,36.30,98503.30,13.33
2022/3/12 23:31:37,22.50,36.30,98503.10,13.75
2022/3/12 23:31:42,22.50,36.20,98502.23,13.75
2022/3/12 23:31:47,22.50,36.20,98502.39,13.75
2022/3/12 23:31:53,22.50,36.20,98502.56,13.33
2022/3/12 23:31:58,22.50,36.10,98502.52,13.75
2022/3/12 23:32:3,22.50,35.90,98502.19,13.75
2022/3/12 23:32:8,22.50,36.10,98502.52,13.75
2022/3/12 23:32:13,22.50,36.10,98502.02,13.33
2022/3/12 23:32:18,22.50,36.00,98501.69,13.75
2022/3/12 23:32:23,22.50,36.10,98501.52,13.33
2022/3/12 23:32:29,22.50,36.10,98502.02,13.33
2022/3/12 23:32:34,22.50,35.90,98502.39,13.33
2022/3/12 23:32:39,22.50,36.00,98501.85,13.33
2022/3/12 23:32:44,22.50,36.00,98502.02,13.75
2022/3/12 23:32:49,22.50,35.90,98501.69,13.75
2022/3/12 23:32:54,22.50,35.90,98501.19,13.33
2022/3/12 23:32:59,22.50,36.00,98501.52,13.33
2022/3/12 23:33:5,22.50,36.10,98502.39,13.33
2022/3/12 23:33:10,22.50,36.10,98501.89,13.33
2022/3/12 23:33:15,22.50,36.20,98501.42,13.33
2022/3/12 23:33:20,22.50,36.30,98501.47,13.33
2022/3/12 23:33:25,22.50,36.20,98501.63,13.33
2022/3/12 23:33:30,22.50,36.30,98501.67,13.33
2022/3/12 23:33:36,22.50,36.30,98501.34,13.33
2022/3/12 23:33:41,22.50,36.40,98501.71,13.33
2022/3/12 23:33:46,22.50,36.40,98501.38,13.33
2022/3/12 23:33:51,22.50,36.30,98502.09,13.33
2022/3/12 23:33:56,22.50,36.30,98502.45,13.33
2022/3/12 23:34:1,22.50,36.20,98501.25,13.75
